"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24545","Verify ""SEARCHED PRODUCTS"" is visible","chromium","2026-02-08","passed","2026-02-08","All Products Flow","04_Products_Module\TC09_Search_Products_test.spec.ts","",""
"","51017","Verify all the products related to search are visible","chromium","2026-02-08","failed","2026-02-08","Product Review Flow","04_Products_Module\TC20_Recommended_Items_Add_test.spec.ts","",""
"","19745","Verify ""GET IN TOUCH"" is visible","chromium","2026-02-08","passed","2026-02-08","Contact Flow","02_ContactUs_Module\TC06_ContactUs_Form_test.spec.ts","",""
"","9747","Verify Users could not Login by providing, Invalid email and valid password","chromium","2026-02-08","passed","2026-02-08","Login Flow","01_LoginRegister_Module\TC03_Login_With_Invalid_Creds_test.spec.ts","",""
"","7136","Verify that home page is visible successfully","chromium","2026-02-08","passed","2026-02-08","Register Checkout Flow","04_Products_Module\TC12_PlaceOrder_Register_After_Checkout_test.spec.ts","",""
"","18756","Verify that 'ACCOUNT DELETED!' is visible","chromium","2026-02-08","passed","2026-02-08","Signup Flow","06_Negative_Tests\TC24_Screenshots_on_negative_test.spec.ts","",""
"","49489","Verify that home page is visible successfully","chromium","2026-02-08","passed","2026-02-08","Register Checkout Flow","04_Products_Module\TC15_Remove_Products_From_Cart_test.spec.ts","",""
"","56206","Verify Hover over first product and click Add to cart","chromium","2026-02-08","failed","2026-02-08","Cart Products Flow","04_Products_Module\TC10_AddProducts_ToCart_test.spec.ts","",""
"","10150","Verify ""New User Signup!"" is visible","chromium","2026-02-08","passed","2026-02-08","Register Flow","01_LoginRegister_Module\TC05_Register_With_Existing_Mail_test.spec.ts","",""
"","23022","Verify user is navigated to ALL PRODUCTS page successfully","chromium","2026-02-08","passed","2026-02-08","Cart Products Flow","04_Products_Module\TC10_AddProducts_ToCart_test.spec.ts","",""
